CE320,Large Scale Software Programming,Agile Software Development,Extreme Programming,Planning in XP,Developing in XP,Clean Code,Releasing in XP
CE305,Languages and Compiler,ANTLR,Lexical Analysis,Finite Automata,Grammars and Parsing,Semantics,Parsers
CE314,Natural Language Engineering,N Gram Models,LMs Evolution and Evaluation,Development of Language Modelling,POS Tagging,Word Sense and Word Representations,Text Classification and Naive Bayes Model
